"loan_id","customer_id","branch_id","loan_type","principal_amount","interest_rate","start_date","term_months","monthly_payment","outstanding_balance","loan_status"
180,411,3,business,3991863.49,14.36,2025-03-11,84,54346.37,1909928.77,active
181,415,3,business,3778932.76,13.81,2025-07-15,84,51200.04,1894704.02,active
182,423,9,mortgage,12849427.25,7.40,2025-08-10,240,57501.19,11934166.97,active
183,424,3,cash,1781204.74,6.92,2022-07-09,36,52901.78,343033.76,active
184,425,2,mortgage,16511853.23,5.21,2025-06-23,240,72383.84,12429438.64,active
185,428,3,auto,2156929.34,5.77,2026-07-07,60,38023.07,1604695.65,active
186,431,7,cash,102725.38,10.05,2026-02-01,36,3140.26,91816.71,active
187,433,3,cash,492523.17,5.27,2023-02-19,36,14402.20,414150.90,active
188,434,9,business,8348024.84,12.30,2021-05-08,84,111605.14,4726560.24,paid_off
189,435,4,mortgage,6920896.56,12.45,2021-09-07,240,32427.28,6190277.67,active
190,438,7,business,6159304.62,8.99,2025-09-25,84,79916.98,3464854.73,active
191,440,9,cash,739419.31,13.08,2021-03-13,36,23225.98,259753.92,active
192,445,8,cash,1374214.35,10.49,2026-07-21,36,42176.93,303535.19,paid_off
193,446,6,business,3152724.01,7.06,2021-12-14,84,40182.22,475341.23,paid_off
194,449,7,cash,156709.20,3.40,2024-11-24,36,4501.04,27952.00,active
195,450,1,mortgage,22895889.66,4.43,2023-09-13,240,99625.74,20860573.50,active
196,454,2,mortgage,28329718.25,10.58,2025-04-30,240,130529.18,23821408.36,paid_off
197,455,6,business,6466990.95,13.90,2024-12-18,84,87689.32,3080374.66,active
198,457,3,mortgage,29928052.96,6.85,2020-08-11,240,133242.19,5776345.54,paid_off
199,463,10,cash,1679218.42,13.14,2020-10-13,36,52774.10,654324.33,active
200,465,1,mortgage,29470716.00,11.22,2022-02-27,240,136572.21,29095550.50,active
201,466,4,auto,978373.71,3.72,2024-05-20,60,16912.82,892732.10,active
202,471,9,mortgage,16063717.72,4.30,2019-07-11,240,69810.24,9943687.01,paid_off
203,472,6,mortgage,24247484.44,14.88,2024-12-15,240,116064.63,16238692.02,active
204,474,3,business,9859956.65,11.73,2025-12-29,84,131149.16,6867398.14,active
205,477,1,business,3661646.06,7.86,2025-03-25,84,47017.28,1196456.21,active
206,478,2,mortgage,9856251.55,8.35,2022-09-04,240,44496.87,6794782.25,active
207,485,3,cash,1376594.70,6.73,2023-01-10,36,40812.21,502608.73,paid_off
208,489,8,auto,3951787.42,3.12,2022-06-16,60,67918.05,922816.79,active
209,490,6,mortgage,11422210.92,12.11,2026-03-03,240,53356.00,11177016.88,active
210,492,1,cash,166761.99,7.17,2025-07-12,36,4964.41,117058.96,active
211,496,8,cash,1122046.20,14.19,2022-02-20,36,35590.68,949787.15,active
212,498,8,cash,748889.49,12.99,2019-09-26,36,23504.73,174364.52,active
213,499,6,auto,2737598.49,7.57,2020-03-27,60,49080.58,2543770.16,active
214,500,8,mortgage,9330070.98,3.44,2025-08-03,240,40212.61,7053194.20,active
