"transaction_id","account_id","transaction_timestamp","transaction_type","transaction_direction","currency","amount","channel","merchant_category","transaction_status"
36,36,2025-05-18 00:33:51.373,bank_transfer,debit,RSD,24059.58,mobile_app,,completed
37,37,2025-08-08 21:29:07.626,refund,credit,RSD,24975.17,online_banking,,pending
38,38,2025-02-25 03:42:30.847,cash_withdrawal,debit,RSD,32888.99,atm,,completed
39,39,2026-06-12 00:52:49.740,cash_withdrawal,debit,RSD,5651.07,atm,,completed
40,40,2026-06-14 11:53:41.859,card_payment,debit,RSD,23481.23,pos,restaurants,completed
41,41,2025-12-31 14:01:47.216,card_payment,debit,RSD,23766.36,pos,shopping,completed
42,42,2026-04-13 06:23:32.789,card_payment,debit,RSD,27179.01,pos,groceries,completed
43,43,2026-06-21 01:54:37.476,salary,credit,RSD,293323.27,bank_transfer,,completed
44,44,2025-10-25 09:00:28.621,refund,credit,RSD,10613.70,online_banking,,completed
45,45,2025-08-21 16:56:40.587,card_payment,debit,RSD,875.64,pos,shopping,completed
46,46,2026-06-28 03:10:32.123,bank_transfer,debit,RSD,159454.15,mobile_app,,completed
47,47,2024-12-16 22:54:06.195,card_payment,debit,RSD,14924.03,pos,utilities,completed
48,48,2020-10-09 02:46:27.843,salary,credit,RSD,65563.01,bank_transfer,,completed
49,49,2026-05-07 17:00:48.625,bank_transfer,debit,RSD,41425.87,mobile_app,,completed
50,50,2025-10-19 09:33:58.455,fee,debit,RSD,17548.76,online_banking,,completed
51,51,2024-11-13 15:58:52.470,salary,credit,RSD,108619.84,bank_transfer,,completed
52,52,2025-04-18 18:19:38.178,fee,debit,RSD,16484.22,online_banking,,pending
53,53,2024-07-10 02:56:52.914,salary,credit,RSD,240946.57,bank_transfer,,completed
54,54,2025-03-19 17:51:27.393,cash_withdrawal,debit,RSD,4249.15,atm,,completed
55,55,2026-06-07 07:00:29.683,refund,credit,RSD,20074.79,online_banking,,completed
56,56,2022-12-05 00:03:25.118,refund,credit,RSD,19125.30,online_banking,,completed
57,57,2025-11-26 10:16:51.988,bank_transfer,debit,RSD,121439.23,mobile_app,,completed
58,58,2025-01-20 16:07:10.867,bank_transfer,debit,RSD,195198.40,mobile_app,,completed
59,59,2026-04-07 21:46:17.481,card_payment,debit,RSD,4382.85,pos,travel,completed
60,60,2025-10-08 15:34:56.118,salary,credit,RSD,191077.27,bank_transfer,,completed
61,61,2025-12-24 19:07:36.903,cash_withdrawal,debit,RSD,20078.67,atm,,completed
62,62,2023-12-04 04:50:11.847,fee,debit,RSD,2740.82,online_banking,,completed
63,63,2026-02-13 01:28:44.492,card_payment,debit,RSD,29201.19,pos,utilities,completed
64,64,2024-11-15 11:19:23.908,bank_transfer,debit,RSD,162072.53,mobile_app,,completed
65,65,2025-05-24 00:17:40.295,cash_withdrawal,debit,RSD,5225.61,atm,,completed
66,66,2025-05-16 09:28:06.793,fee,debit,RSD,4991.78,online_banking,,completed
67,67,2025-03-28 15:59:36.838,card_payment,debit,RSD,26345.09,pos,utilities,completed
68,68,2026-01-26 15:39:16.829,salary,credit,RSD,85509.09,bank_transfer,,completed
69,69,2025-07-13 20:00:10.815,cash_withdrawal,debit,RSD,25259.06,atm,,completed
70,70,2023-01-12 00:34:49.666,refund,credit,RSD,16419.93,online_banking,,completed
71,71,2026-01-21 17:39:13.407,refund,credit,RSD,27727.53,online_banking,,completed
72,72,2026-07-19 05:27:32.722,fee,debit,RSD,6128.10,online_banking,,pending
73,73,2025-11-12 03:33:13.660,cash_withdrawal,debit,RSD,20036.15,atm,,completed
74,74,2022-09-18 16:14:17.051,refund,credit,RSD,14011.01,online_banking,,completed
75,75,2025-01-02 06:42:13.274,salary,credit,RSD,285890.72,bank_transfer,,completed
76,76,2025-03-29 17:19:53.986,cash_withdrawal,debit,RSD,37644.23,atm,,pending
77,77,2025-03-31 11:05:10.643,fee,debit,RSD,19172.45,online_banking,,completed
78,78,2026-08-02 13:17:33.568,refund,credit,RSD,25160.15,online_banking,,completed
79,79,2026-07-20 01:45:46.757,card_payment,debit,RSD,16155.68,pos,restaurants,completed
80,80,2026-07-06 00:32:14.540,salary,credit,RSD,154754.63,bank_transfer,,completed
81,81,2026-05-24 13:06:48.073,salary,credit,RSD,233587.68,bank_transfer,,pending
82,82,2024-06-19 23:53:53.876,salary,credit,RSD,246793.77,bank_transfer,,completed
83,83,2023-11-04 21:31:43.801,cash_withdrawal,debit,RSD,31521.12,atm,,completed
84,84,2022-03-26 11:54:10.480,salary,credit,RSD,104200.89,bank_transfer,,completed
85,85,2026-03-25 08:28:05.429,card_payment,debit,RSD,746.00,pos,travel,pending
86,86,2026-03-02 23:00:55.691,cash_withdrawal,debit,RSD,21826.08,atm,,completed
87,87,2023-11-05 16:46:47.656,refund,credit,RSD,16244.48,online_banking,,completed
88,88,2025-03-16 04:03:50.186,salary,credit,RSD,165159.22,bank_transfer,,pending
89,89,2026-08-06 04:08:51.977,fee,debit,RSD,18392.01,online_banking,,declined
90,90,2026-02-26 01:11:11.110,refund,credit,RSD,21301.71,online_banking,,completed
91,91,2025-08-24 10:13:28.790,card_payment,debit,RSD,27678.36,pos,groceries,completed
92,92,2025-07-02 20:33:33.137,refund,credit,RSD,377.63,online_banking,,completed
93,93,2026-07-20 02:46:13.836,cash_withdrawal,debit,RSD,29375.42,atm,,completed
94,94,2024-07-14 10:04:29.443,cash_withdrawal,debit,RSD,44400.60,atm,,completed
95,95,2023-12-04 11:16:13.787,card_payment,debit,RSD,3348.43,pos,travel,completed
96,96,2023-12-04 07:38:41.168,refund,credit,RSD,20086.01,online_banking,,completed
97,97,2025-10-26 04:45:32.068,salary,credit,RSD,62706.91,bank_transfer,,completed
98,98,2024-03-22 05:44:45.402,bank_transfer,debit,RSD,152351.45,mobile_app,,completed
99,99,2026-01-05 18:19:08.375,bank_transfer,debit,RSD,230975.47,mobile_app,,completed
100,100,2025-10-15 04:50:34.049,refund,credit,RSD,14605.85,online_banking,,completed
101,101,2024-11-13 21:58:02.176,bank_transfer,debit,RSD,107220.84,mobile_app,,completed
102,102,2026-03-07 23:13:18.311,bank_transfer,debit,RSD,180350.87,mobile_app,,completed
103,103,2026-02-18 21:46:24.861,card_payment,debit,RSD,7704.65,pos,shopping,completed
104,104,2024-07-07 18:30:19.304,cash_withdrawal,debit,RSD,1167.80,atm,,completed
105,105,2026-03-17 06:56:55.919,bank_transfer,debit,RSD,95667.85,mobile_app,,completed
106,106,2025-06-18 00:14:35.989,refund,credit,RSD,12420.86,online_banking,,completed
107,107,2026-06-15 09:00:28.085,bank_transfer,debit,RSD,78489.64,mobile_app,,completed
108,108,2024-10-18 19:31:34.792,fee,debit,RSD,6919.50,online_banking,,completed
109,109,2025-07-15 02:37:59.982,cash_withdrawal,debit,RSD,3738.93,atm,,pending
110,110,2026-04-19 09:50:37.823,bank_transfer,debit,RSD,222662.12,mobile_app,,completed
111,111,2026-06-29 14:05:33.066,cash_withdrawal,debit,RSD,13788.99,atm,,completed
112,112,2023-07-28 00:59:36.211,salary,credit,RSD,91779.59,bank_transfer,,completed
113,113,2025-06-25 06:25:59.959,fee,debit,RSD,19864.84,online_banking,,completed
114,114,2026-02-09 06:43:21.814,cash_withdrawal,debit,RSD,16160.47,atm,,completed
115,115,2026-06-07 15:27:59.349,card_payment,debit,RSD,28112.96,pos,shopping,completed
116,116,2026-02-16 20:09:47.088,bank_transfer,debit,RSD,287742.32,mobile_app,,completed
117,117,2026-03-31 07:02:31.526,salary,credit,RSD,146759.15,bank_transfer,,completed
118,118,2026-08-02 01:11:34.314,salary,credit,RSD,211141.28,bank_transfer,,completed
119,119,2026-07-27 10:39:05.110,refund,credit,RSD,21161.47,online_banking,,completed
120,120,2022-06-10 05:40:01.876,cash_withdrawal,debit,RSD,26938.85,atm,,completed
121,121,2026-06-21 08:52:57.731,bank_transfer,debit,RSD,177988.86,mobile_app,,completed
122,122,2025-06-01 21:38:35.626,salary,credit,RSD,260342.06,bank_transfer,,completed
123,123,2022-11-24 12:58:29.307,fee,debit,RSD,10877.00,online_banking,,completed
124,124,2022-10-05 08:57:32.067,cash_withdrawal,debit,RSD,15991.36,atm,,completed
125,125,2026-03-05 21:08:29.051,refund,credit,RSD,873.90,online_banking,,completed
126,126,2024-09-30 19:15:24.336,refund,credit,RSD,20036.26,online_banking,,completed
127,127,2023-03-20 21:27:35.607,card_payment,debit,RSD,25047.32,pos,travel,completed
128,128,2026-02-14 19:29:34.216,refund,credit,RSD,417.30,online_banking,,completed
129,129,2025-07-12 22:18:36.654,fee,debit,RSD,13235.81,online_banking,,completed
130,130,2024-06-15 02:09:18.915,refund,credit,RSD,16546.09,online_banking,,completed
131,131,2026-07-08 13:03:18.744,bank_transfer,debit,RSD,222837.92,mobile_app,,completed
132,132,2026-06-08 13:17:20.978,refund,credit,RSD,20520.14,online_banking,,pending
133,133,2024-08-02 17:49:32.868,bank_transfer,debit,RSD,17982.82,mobile_app,,pending
134,134,2026-06-12 15:57:24.385,fee,debit,RSD,7892.44,online_banking,,completed
135,135,2026-07-23 22:57:01.195,card_payment,debit,RSD,27199.71,pos,shopping,completed
136,136,2026-06-26 21:24:20.655,cash_withdrawal,debit,RSD,44030.59,atm,,completed
137,137,2025-10-22 17:06:41.978,salary,credit,RSD,281974.33,bank_transfer,,completed
138,138,2026-06-28 02:58:03.002,bank_transfer,debit,RSD,252620.65,mobile_app,,completed
139,139,2025-10-17 09:36:37.316,bank_transfer,debit,RSD,188465.62,mobile_app,,completed
140,140,2025-01-12 15:57:37.375,card_payment,debit,RSD,18911.61,pos,shopping,completed
141,141,2024-04-04 14:10:41.800,bank_transfer,debit,RSD,278668.88,mobile_app,,completed
142,142,2026-08-07 12:14:04.490,bank_transfer,debit,RSD,59490.08,mobile_app,,completed
143,143,2025-05-04 17:57:24.038,cash_withdrawal,debit,RSD,41237.42,atm,,completed
144,144,2025-01-27 23:14:28.705,fee,debit,RSD,18248.55,online_banking,,completed
145,145,2021-08-25 21:45:18.068,cash_withdrawal,debit,RSD,11893.62,atm,,completed
146,146,2024-06-29 00:38:28.066,cash_withdrawal,debit,RSD,26574.30,atm,,completed
147,147,2025-04-25 03:17:23.651,cash_withdrawal,debit,RSD,11145.08,atm,,completed
148,148,2025-08-10 02:40:59.748,salary,credit,RSD,86433.04,bank_transfer,,completed
149,149,2026-02-14 14:07:10.315,refund,credit,RSD,11414.68,online_banking,,completed
150,150,2026-03-05 01:10:37.286,cash_withdrawal,debit,RSD,8229.02,atm,,completed
151,151,2026-04-03 11:14:33.984,salary,credit,RSD,91795.63,bank_transfer,,completed
152,152,2026-01-21 23:42:23.255,refund,credit,RSD,25404.34,online_banking,,completed
153,153,2026-07-31 02:07:24.416,bank_transfer,debit,RSD,62096.13,mobile_app,,completed
154,154,2026-05-07 12:36:44.980,bank_transfer,debit,RSD,190839.43,mobile_app,,completed
155,155,2026-03-11 14:22:54.257,fee,debit,RSD,1407.64,online_banking,,completed
156,156,2026-01-31 01:29:02.188,refund,credit,RSD,4116.36,online_banking,,completed
157,157,2021-12-14 21:24:22.143,refund,credit,RSD,28295.53,online_banking,,pending
158,158,2025-06-02 14:32:24.858,bank_transfer,debit,RSD,94438.48,mobile_app,,completed
159,159,2026-06-25 08:20:32.795,bank_transfer,debit,RSD,284542.34,mobile_app,,completed
160,160,2026-06-21 09:54:06.527,bank_transfer,debit,RSD,50537.90,mobile_app,,completed
161,161,2026-06-23 03:49:29.287,fee,debit,RSD,29538.88,online_banking,,completed
162,162,2025-03-09 00:24:31.309,refund,credit,RSD,19987.44,online_banking,,pending
163,163,2024-08-19 03:00:59.683,cash_withdrawal,debit,RSD,36296.64,atm,,completed
164,164,2022-01-02 14:13:30.378,card_payment,debit,RSD,25499.04,pos,groceries,completed
165,165,2022-06-30 11:45:58.762,bank_transfer,debit,RSD,217719.95,mobile_app,,completed
166,166,2026-02-15 12:48:38.652,fee,debit,RSD,27644.20,online_banking,,completed
167,167,2026-07-16 04:01:39.405,fee,debit,RSD,2827.95,online_banking,,completed
168,168,2023-09-14 17:45:47.173,refund,credit,RSD,9309.05,online_banking,,completed
169,169,2025-10-20 10:25:35.996,cash_withdrawal,debit,RSD,29080.97,atm,,completed
170,170,2023-06-30 07:35:30.215,cash_withdrawal,debit,RSD,40448.27,atm,,completed
171,171,2024-08-29 07:27:08.166,cash_withdrawal,debit,RSD,48279.20,atm,,completed
172,172,2023-01-07 07:22:46.580,card_payment,debit,RSD,25928.65,pos,restaurants,completed
173,173,2024-04-26 09:51:40.964,salary,credit,RSD,255314.01,bank_transfer,,completed
174,174,2019-08-20 14:40:13.584,card_payment,debit,RSD,17346.58,pos,fuel,completed
175,175,2026-06-16 00:07:20.484,card_payment,debit,RSD,14237.49,pos,travel,completed
176,176,2025-03-02 03:25:48.991,cash_withdrawal,debit,RSD,31633.72,atm,,completed
177,177,2025-12-15 00:17:06.507,cash_withdrawal,debit,RSD,973.04,atm,,pending
178,178,2025-07-09 05:28:00.389,card_payment,debit,RSD,26993.73,pos,shopping,completed
179,179,2026-04-27 13:41:27.813,card_payment,debit,RSD,28247.06,pos,utilities,completed
180,180,2025-06-26 17:47:38.482,refund,credit,RSD,11511.81,online_banking,,completed
181,181,2026-07-10 11:31:17.228,bank_transfer,debit,RSD,17170.07,mobile_app,,completed
182,182,2025-04-09 19:47:45.062,salary,credit,RSD,142567.05,bank_transfer,,completed
183,183,2026-01-27 17:49:08.173,refund,credit,RSD,12520.50,online_banking,,completed
184,184,2025-12-18 16:23:15.149,fee,debit,RSD,5806.23,online_banking,,pending
185,185,2022-08-23 07:33:24.206,cash_withdrawal,debit,RSD,13332.25,atm,,completed
186,186,2024-03-16 15:57:46.621,salary,credit,RSD,187431.40,bank_transfer,,completed
187,187,2022-06-15 06:13:22.428,bank_transfer,debit,RSD,248474.02,mobile_app,,completed
188,188,2024-08-31 18:59:42.366,salary,credit,RSD,175649.85,bank_transfer,,completed
189,189,2025-09-15 20:46:36.279,bank_transfer,debit,RSD,29087.01,mobile_app,,completed
190,190,2024-03-19 22:19:03.659,cash_withdrawal,debit,RSD,27190.44,atm,,completed
191,191,2025-03-24 19:17:43.372,cash_withdrawal,debit,RSD,29815.18,atm,,completed
192,192,2026-05-02 10:11:10.376,fee,debit,RSD,4601.73,online_banking,,completed
193,193,2026-07-23 16:39:57.340,refund,credit,RSD,11557.02,online_banking,,completed
194,194,2021-04-10 04:58:29.539,fee,debit,RSD,24577.67,online_banking,,completed
195,195,2024-05-07 10:50:49.455,fee,debit,RSD,29196.73,online_banking,,pending
196,196,2026-03-08 20:54:01.209,refund,credit,RSD,28232.35,online_banking,,completed
197,197,2026-06-12 13:36:27.449,cash_withdrawal,debit,RSD,8495.59,atm,,completed
198,198,2026-03-12 22:47:27.407,salary,credit,RSD,165014.25,bank_transfer,,completed
199,199,2025-02-22 14:49:52.730,refund,credit,RSD,13241.86,online_banking,,completed
200,200,2024-06-03 01:05:47.607,bank_transfer,debit,RSD,251623.85,mobile_app,,pending
201,201,2025-12-26 11:04:12.152,bank_transfer,debit,RSD,281933.78,mobile_app,,completed
202,202,2025-01-11 19:44:03.723,salary,credit,RSD,128007.83,bank_transfer,,completed
203,203,2025-10-14 09:10:16.771,salary,credit,RSD,178844.21,bank_transfer,,completed
204,204,2026-07-29 17:51:23.084,fee,debit,RSD,24656.20,online_banking,,completed
205,205,2023-03-14 10:21:55.914,refund,credit,RSD,5366.38,online_banking,,pending
206,206,2026-07-09 18:46:55.432,cash_withdrawal,debit,RSD,45031.93,atm,,completed
207,207,2026-05-16 14:59:38.240,salary,credit,RSD,69388.13,bank_transfer,,completed
208,208,2026-01-23 23:46:25.761,salary,credit,RSD,100145.02,bank_transfer,,completed
209,209,2026-04-02 10:30:01.009,fee,debit,RSD,29375.10,online_banking,,completed
210,210,2025-08-22 18:28:27.014,card_payment,debit,RSD,13958.21,pos,restaurants,completed
211,211,2026-05-18 09:28:37.125,card_payment,debit,RSD,11192.16,pos,travel,completed
212,212,2022-04-02 09:24:00.525,bank_transfer,debit,RSD,241016.80,mobile_app,,completed
213,213,2026-07-18 09:18:44.819,refund,credit,RSD,26924.63,online_banking,,completed
214,214,2025-08-12 18:29:57.868,card_payment,debit,RSD,16409.48,pos,travel,completed
215,215,2024-12-21 02:29:20.993,bank_transfer,debit,RSD,185296.19,mobile_app,,completed
216,216,2026-01-11 08:15:11.626,refund,credit,RSD,20487.55,online_banking,,completed
217,217,2026-03-10 12:09:46.344,salary,credit,RSD,89952.73,bank_transfer,,completed
218,218,2025-01-27 18:50:14.325,salary,credit,RSD,284861.86,bank_transfer,,completed
219,219,2026-07-12 09:40:29.246,fee,debit,RSD,25955.02,online_banking,,pending
220,220,2025-11-25 15:17:13.251,card_payment,debit,RSD,6409.13,pos,groceries,completed
221,221,2023-10-14 01:48:26.034,refund,credit,RSD,20060.14,online_banking,,completed
222,222,2023-04-17 17:17:46.306,salary,credit,RSD,191789.25,bank_transfer,,completed
223,223,2026-02-13 13:23:27.530,fee,debit,RSD,2365.67,online_banking,,completed
224,224,2026-06-26 02:52:55.820,salary,credit,RSD,89694.52,bank_transfer,,completed
225,225,2025-04-16 00:38:04.892,refund,credit,RSD,2865.56,online_banking,,completed
226,226,2026-06-03 04:41:01.185,card_payment,debit,RSD,12676.95,pos,utilities,pending
227,227,2025-05-23 01:14:32.330,cash_withdrawal,debit,RSD,25306.98,atm,,completed
228,228,2021-01-01 01:28:07.800,card_payment,debit,RSD,27425.27,pos,utilities,completed
229,229,2024-07-04 06:15:33.005,salary,credit,RSD,295422.07,bank_transfer,,completed
230,230,2024-05-13 20:56:54.144,fee,debit,RSD,17116.69,online_banking,,completed
231,231,2025-10-22 20:13:31.718,card_payment,debit,RSD,22843.12,pos,restaurants,completed
232,232,2024-04-11 14:09:06.815,salary,credit,RSD,166370.89,bank_transfer,,pending
233,233,2026-05-18 20:04:12.991,fee,debit,RSD,346.69,online_banking,,completed
234,234,2023-12-15 09:32:34.337,cash_withdrawal,debit,RSD,22260.08,atm,,completed
235,235,2026-01-09 12:23:21.655,bank_transfer,debit,RSD,226871.08,mobile_app,,completed
236,236,2025-04-22 09:01:25.726,refund,credit,RSD,21384.89,online_banking,,completed
237,237,2023-04-19 05:19:00.828,cash_withdrawal,debit,RSD,16778.56,atm,,completed
238,238,2025-10-22 13:32:08.626,fee,debit,RSD,18266.78,online_banking,,completed
239,239,2025-12-02 05:05:53.535,bank_transfer,debit,RSD,93951.15,mobile_app,,completed
240,240,2025-08-29 03:36:10.513,refund,credit,RSD,14847.30,online_banking,,completed
241,241,2020-02-08 08:54:01.378,fee,debit,RSD,8459.64,online_banking,,completed
242,242,2025-11-12 12:40:18.944,refund,credit,RSD,18773.14,online_banking,,completed
243,243,2023-07-30 09:31:40.460,fee,debit,RSD,12295.29,online_banking,,completed
244,244,2025-11-25 07:51:39.460,salary,credit,RSD,51609.15,bank_transfer,,completed
245,245,2021-03-20 06:01:02.410,bank_transfer,debit,RSD,275210.87,mobile_app,,completed
246,246,2024-07-24 19:07:05.546,cash_withdrawal,debit,RSD,35637.30,atm,,completed
247,247,2023-10-02 14:22:31.809,card_payment,debit,RSD,25065.08,pos,fuel,completed
248,248,2026-02-13 04:41:13.768,fee,debit,RSD,25910.07,online_banking,,pending
249,249,2024-06-09 05:14:42.987,fee,debit,RSD,22448.28,online_banking,,completed
250,250,2026-07-31 18:09:40.154,cash_withdrawal,debit,RSD,10963.31,atm,,completed
251,251,2025-07-19 19:33:21.048,cash_withdrawal,debit,RSD,31166.22,atm,,completed
252,252,2026-06-18 15:53:32.745,bank_transfer,debit,RSD,11533.39,mobile_app,,pending
253,253,2026-04-23 18:36:38.917,fee,debit,RSD,25284.77,online_banking,,completed
254,254,2025-02-18 01:52:51.824,fee,debit,RSD,25933.62,online_banking,,completed
255,255,2026-02-26 03:53:44.185,refund,credit,RSD,1715.79,online_banking,,completed
256,256,2026-05-27 13:40:43.573,cash_withdrawal,debit,RSD,1175.11,atm,,completed
257,257,2024-01-18 07:57:45.520,fee,debit,RSD,29956.13,online_banking,,pending
258,258,2026-05-24 09:22:43.270,refund,credit,RSD,2117.98,online_banking,,completed
259,259,2020-01-18 00:50:08.177,bank_transfer,debit,RSD,105377.17,mobile_app,,completed
260,260,2026-05-27 13:58:32.431,fee,debit,RSD,12328.01,online_banking,,completed
261,261,2026-03-05 20:19:57.851,fee,debit,RSD,9062.66,online_banking,,completed
262,262,2026-06-21 16:06:16.010,cash_withdrawal,debit,RSD,25193.06,atm,,completed
263,263,2025-10-08 19:44:51.616,salary,credit,RSD,51312.30,bank_transfer,,completed
264,264,2022-07-22 14:16:57.611,card_payment,debit,RSD,13130.00,pos,fuel,completed
265,265,2025-09-07 16:00:51.253,cash_withdrawal,debit,RSD,44005.92,atm,,completed
266,266,2026-03-06 13:54:56.468,refund,credit,RSD,18697.91,online_banking,,completed
267,267,2025-12-06 23:47:19.221,cash_withdrawal,debit,RSD,21616.68,atm,,completed
268,268,2025-11-06 13:32:40.765,card_payment,debit,RSD,19843.26,pos,shopping,completed
269,269,2025-09-01 09:13:03.513,card_payment,debit,RSD,9608.22,pos,fuel,completed
270,270,2026-02-18 02:30:45.138,cash_withdrawal,debit,RSD,42521.54,atm,,completed
271,271,2021-11-16 06:03:37.417,cash_withdrawal,debit,RSD,31665.68,atm,,completed
272,272,2026-07-09 00:25:05.994,salary,credit,RSD,60762.70,bank_transfer,,completed
273,273,2022-12-23 10:54:19.557,card_payment,debit,RSD,29234.40,pos,shopping,completed
274,274,2024-10-22 05:14:55.451,fee,debit,RSD,27370.59,online_banking,,pending
275,275,2026-06-11 22:20:16.054,refund,credit,RSD,24465.18,online_banking,,completed
276,276,2026-03-10 10:05:23.338,card_payment,debit,RSD,14074.18,pos,shopping,completed
277,277,2026-05-17 16:28:26.058,bank_transfer,debit,RSD,180538.97,mobile_app,,completed
278,278,2020-10-11 06:17:15.682,card_payment,debit,RSD,6821.55,pos,fuel,completed
279,279,2025-11-22 23:51:31.594,cash_withdrawal,debit,RSD,37490.58,atm,,completed
280,280,2024-10-01 03:27:19.655,card_payment,debit,RSD,3208.37,pos,fuel,completed
281,281,2026-05-28 20:10:35.695,refund,credit,RSD,1181.22,online_banking,,completed
282,282,2024-12-11 04:25:30.266,salary,credit,RSD,200377.88,bank_transfer,,completed
283,283,2025-06-02 08:15:03.326,salary,credit,RSD,158430.82,bank_transfer,,completed
284,284,2026-07-07 12:30:23.339,fee,debit,RSD,1580.18,online_banking,,completed
285,285,2025-08-08 17:18:13.106,bank_transfer,debit,RSD,145665.20,mobile_app,,completed
286,286,2023-09-12 21:32:16.437,card_payment,debit,RSD,10442.80,pos,groceries,completed
287,287,2023-05-15 16:40:01.755,fee,debit,RSD,19407.48,online_banking,,completed
288,288,2025-06-21 21:59:07.129,cash_withdrawal,debit,RSD,37102.82,atm,,completed
289,289,2025-05-17 20:45:48.164,refund,credit,RSD,1478.23,online_banking,,completed
290,290,2026-07-27 22:41:11.342,card_payment,debit,RSD,18287.24,pos,utilities,completed
291,291,2025-08-25 23:12:46.108,refund,credit,RSD,8969.90,online_banking,,completed
292,292,2026-02-06 11:06:10.404,salary,credit,RSD,158568.39,bank_transfer,,completed
293,293,2024-02-17 17:51:19.359,bank_transfer,debit,RSD,272385.11,mobile_app,,completed
294,294,2023-10-28 16:04:52.486,salary,credit,RSD,283009.33,bank_transfer,,completed
295,295,2025-09-22 19:27:23.769,bank_transfer,debit,RSD,78695.36,mobile_app,,completed
296,296,2023-01-21 09:51:39.968,card_payment,debit,RSD,2353.31,pos,fuel,completed
297,297,2026-06-18 07:07:53.310,salary,credit,RSD,187214.28,bank_transfer,,completed
298,298,2026-04-13 20:42:27.157,salary,credit,RSD,278457.61,bank_transfer,,completed
299,299,2026-04-25 10:57:02.076,refund,credit,RSD,2014.39,online_banking,,completed
300,300,2024-06-02 17:19:25.384,fee,debit,RSD,5707.72,online_banking,,completed
301,301,2025-07-20 00:29:07.293,cash_withdrawal,debit,RSD,42868.18,atm,,completed
302,302,2024-11-21 02:35:04.225,fee,debit,RSD,26732.33,online_banking,,completed
303,303,2026-01-20 01:09:27.821,card_payment,debit,RSD,7610.10,pos,travel,completed
304,304,2025-05-18 05:45:41.241,cash_withdrawal,debit,RSD,1892.88,atm,,completed
305,305,2026-03-07 02:41:11.921,fee,debit,RSD,4921.89,online_banking,,completed
306,306,2026-06-14 08:12:34.753,bank_transfer,debit,RSD,109501.48,mobile_app,,completed
